day,leaf,clone,column,rep,countAlive,countDead,countEggs,id
8,1,1,1,1,18,9,18,1.1
8,1,1,1,2,20,8,24,1.1
8,1,1,1,3,22,7,14,1.1
8,1,2,2,1,7,0,2,1.2
8,1,2,2,2,12,0,1,1.2
8,1,2,2,3,8,0,1,1.2
8,1,3,3,1,2,10,2,1.3
8,1,3,3,2,4,3,0,1.3
8,1,3,3,3,3,6,0,1.3
8,1,4,4,1,0,0,0,1.4
8,1,4,4,2,0,1,2,1.4
8,1,4,4,3,0,0,0,1.4
8,1,5,5,1,53,13,31,1.5
8,1,5,5,2,69,19,41,1.5
8,1,5,5,3,64,4,29,1.5
8,1,6,6,1,6,11,3,1.6
8,1,6,6,2,3,5,3,1.6
8,1,6,6,3,6,7,2,1.6
8,1,7,1,1,10,8,4,1.7
8,1,7,1,2,10,3,14,1.7
8,1,7,1,3,7,4,15,1.7
8,1,8,2,1,36,12,9,1.8
8,1,8,2,2,37,17,14,1.8
8,1,8,2,3,35,21,14,1.8
8,2,1,3,1,3,2,0,2.1
8,2,1,3,2,1,1,2,2.1
8,2,1,3,3,2,1,2,2.1
8,2,2,4,1,8,13,14,2.2
8,2,2,4,2,5,13,6,2.2
8,2,2,4,3,13,7,15,2.2
8,2,3,5,1,11,5,8,2.3
8,2,3,5,2,15,4,22,2.3
8,2,3,5,3,8,5,10,2.3
8,2,4,6,1,9,5,2,2.4
8,2,4,6,2,2,1,6,2.4
8,2,4,6,3,3,6,5,2.4
8,2,5,1,1,17,3,14,2.5
8,2,5,1,2,14,5,17,2.5
8,2,5,1,3,16,5,21,2.5
8,2,6,2,1,0,0,0,2.6
8,2,6,2,2,0,0,0,2.6
8,2,6,2,3,0,0,0,2.6
8,2,7,3,1,3,6,1,2.7
8,2,7,3,2,1,0,2,2.7
8,2,7,3,3,2,3,2,2.7
8,2,8,4,1,8,2,8,2.8
8,2,8,4,2,13,9,7,2.8
8,2,8,4,3,13,6,6,2.8
