,site,leaf,week4,isolateID,sampleID,week6
C23.52,C,23,TRUE,C23-04i_2-D4,C23,TRUE
C23.64,C,23,TRUE,C23-16i_2-E8,C23,TRUE
C23.50,C,23,TRUE,C23-02i_2-D2,C23,TRUE
C23.56,C,23,LOW,C23-08i_2-D8,C23,TRUE
C23.62,C,23,TRUE,C23-14i_2-E6,C23,TRUE
C27.10,C,27,TRUE,C27-10i_1-B3,C27,TRUE
C27.9,C,27,TRUE,C27-09i_1-B2,C27,TRUE
C27.1,C,27,TRUE,C27-01i_1-A1,C27,TRUE
C27.2,C,27,TRUE,C27-02i_1-A2,C27,TRUE
C27.5,C,27,TRUE,C27-05i_1-A5,C27,TRUE
C28.39,C,28,TRUE,C28-07i_2-A7,C28,TRUE
C28.35,C,28,TRUE,C28-03i_2-A3,C28,TRUE
C28.43,C,28,TRUE,C28-11i_2-B3,C28,TRUE
C28.33,C,28,TRUE,C28-01i_2-A1,C28,TRUE
C28.34,C,28,TRUE,C28-02i_2-A2,C28,TRUE
C49.73,C,49,LOW,C49-09i_3-B1,C49,TRUE
C49.77,C,49,LOW,C49-13i_3-B5,C49,TRUE
C49.78,C,49,LOW,C49-14i_3-B6,C49,TRUE
C49.80,C,49,LOW,C49-16i_3-B8,C49,TRUE
C7.18,C,7,TRUE,C07-02i_1-D2,C7,TRUE
C7.30,C,7,TRUE,C07-14i_1-E6,C7,TRUE
C7.29,C,7,LOW,C07-13i_1-E5,C7,TRUE
C7.24,C,7,TRUE,C07-08i_1-D8,C7,TRUE
C7.19,C,7,TRUE,C07-03i_1-D3,C7,TRUE
P24.83,P,24,FALSE,P24-03i_3-D3,P24,TRUE
P24.84,P,24,CONTAM,P24-04i_3-D4,P24,TRUE
P24.93,P,24,TRUE,P24-13i_3-E5,P24,TRUE
P24.82,P,24,CONTAM,P24-02i_3-D2,P24,TRUE
P24.88,P,24,CONTAM,P24-08i_3-D8,P24,TRUE
