day,id,leaf,clone,count
4,1.5,1,5,17
4,1.6,1,6,1
4,1.7,1,7,3
4,2.2,2,2,0
4,2.3,2,3,0
4,2.4,2,4,0
4,2.5,2,5,0
4,2.8,2,8,0
5,1.6,1,6,2
5,1.7,1,7,4
5,2.2,2,2,0
5,2.3,2,3,2
5,2.4,2,4,0
5,2.5,2,5,0
5,2.8,2,8,0
6,1.5,1,5,44
6,1.6,1,6,9
6,1.7,1,7,13
6,2.2,2,2,3
6,2.3,2,3,0
6,2.4,2,4,3
6,2.5,2,5,4
6,2.8,2,8,7
7,1.5,1,5,49
7,1.6,1,6,1
7,1.7,1,7,17
7,2.2,2,2,0
7,2.3,2,3,4
7,2.4,2,4,1
7,2.5,2,5,4
7,2.8,2,8,2
8,1.5,1,5,65
8,1.6,1,6,4
8,1.7,1,7,31
8,2.2,2,2,0
8,2.3,2,3,1
8,2.4,2,4,2
8,2.5,2,5,1
8,2.8,2,8,3
9,1.5,1,5,57
9,1.6,1,6,7
9,1.7,1,7,49
9,2.2,2,2,0
9,2.3,2,3,1
9,2.4,2,4,2
9,2.5,2,5,4
9,2.8,2,8,0
11,1.5,1,5,57
11,1.6,1,6,37
11,1.7,1,7,54
11,2.2,2,2,0
11,2.3,2,3,4
11,2.4,2,4,1
11,2.5,2,5,0
11,2.8,2,8,1
