ID,count,mL,
C23,13,39,
C23,2,6,
C23,3,9,
C23,0,0,
C23,1,3,
C27,6,18,
C27,14,42,
C27,2,6,
C27,0,0,
C27,0,0,
C28,0,0,
C28,28,84,
C28,0,0,
C28,0,0,
C28,0,0,
C7,0,0,
C7,0,0,
C7,2,6,
C7,50,150,
C7,11,33,
C49,0,0,
C49,2,6,
C49,4,12,
C49,3,9,
P24,16,48,
P24,28,84,
P24,0,0,
P24,0,0,
P27,0,0,
P27,20,60,
P27,0,0,
P27,7,21,
P27,2,6,
P3,7,21,
P3,3,9,
P3,7,21,
P3,5,15,
P3,1,3,
P36,9,27,
P36,4,12,
P36,0,0,
P36,8,24,
P36,0,0,
P8,30,90,
P8,50,150,
P8,1,3,
P8,0,0,
C23,5,15,
C23,0,0,
C23,0,0,
C27,0,0,
C27,0,0,
C49,0,0,
C49,0,0,
C49,3,9,
C49,5,15,
C4,3,9,
C4,7,21,
C4,4,12,
C4,0,0,
C4,0,0,
C4,3,9,
C4,0,0,
C4,0,0,
C36,0,0,
C36,1,3,
C36,0,0,
C36,1,3,
C36,2,6,
P24,3,9,
P27,1,3,
P3,3,9,
P7,1,3,
P7,5,15,
P7,4,12,
P7,1,3,
P7,1,3,
P7,9,27,
P7,3,9,
P7,1,3,
